Target, Output
45.40000, 39.67159
45.40000, 40.33555
45.40000, 40.16781
45.40000, 41.96982
45.40000, 41.33871
45.40000, 40.95151
45.40000, 42.00750
45.40000, 43.38515
45.40000, 44.10240
45.40000, 41.39659
45.40000, 40.74570
45.40000, 41.80531
45.40000, 40.82716
45.40000, 40.57249
45.40000, 41.20025
45.40000, 41.29056
45.40000, 40.60815
45.40000, 42.31888
45.40000, 41.80050
45.40000, 40.95907
45.40000, 43.59445
45.40000, 41.01713
45.40000, 40.68182
45.40000, 43.88261
51.70000, 56.94685
51.70000, 55.09117
51.70000, 55.25536
51.70000, 55.83005
51.70000, 54.25347
51.70000, 54.25045
51.70000, 55.26145
51.70000, 56.62170
51.70000, 55.89012
51.70000, 55.43756
51.70000, 57.41281
51.70000, 55.91465
51.70000, 56.62372
51.70000, 58.20923
51.70000, 55.60981
51.70000, 56.37773
51.70000, 56.54728
51.70000, 55.17829
51.70000, 56.68008
59.00000, 63.01687
59.00000, 61.01177
59.00000, 61.36588
59.00000, 60.99612
59.00000, 62.36026
59.00000, 61.90734
59.00000, 60.56341
59.00000, 60.76804
59.00000, 60.32667
59.00000, 61.70418
59.00000, 61.63393
59.00000, 62.17871
59.00000, 59.70087
59.00000, 61.09496
59.00000, 62.48042
59.00000, 61.39465
59.00000, 61.67111
59.00000, 61.14160
59.00000, 61.60106
59.00000, 62.75006
59.00000, 60.54707
59.00000, 60.86686
59.00000, 62.23035
59.00000, 62.24699
59.00000, 61.93722
59.00000, 61.56761
59.00000, 61.68806
59.00000, 61.96603
59.00000, 61.09896
59.00000, 62.18662
59.00000, 61.75299
59.00000, 64.41194
57.90000, 57.69297
57.90000, 58.08338
57.90000, 57.11323
57.90000, 58.59390
57.90000, 57.16179
57.90000, 55.72680
57.90000, 57.64164
57.90000, 58.22317
57.90000, 57.12223
57.90000, 56.80935
57.90000, 56.83147
57.90000, 59.06644
57.90000, 58.17713
57.90000, 58.52254
57.90000, 57.67852
57.90000, 59.36899
57.90000, 58.21431
57.90000, 57.90447
57.90000, 57.17554
57.90000, 57.67496
57.90000, 59.08525
57.90000, 57.98589
57.90000, 57.71470
57.90000, 57.15704
57.90000, 57.93537
57.90000, 57.10015
57.90000, 57.07667
57.90000, 57.40290
57.90000, 58.16052
57.90000, 57.39316
57.90000, 57.73661
57.90000, 57.48904
57.90000, 58.07186
57.90000, 57.78272
57.90000, 57.24124
57.90000, 58.09108
57.90000, 57.21026
57.90000, 57.78623
57.90000, 57.20949
57.90000, 59.05294
55.20000, 55.76543
55.20000, 56.43666
81.30000, 78.44777
81.30000, 78.76266
81.30000, 78.46530
81.30000, 77.54414
81.30000, 78.21375
81.30000, 76.41689
81.30000, 78.65573
81.30000, 77.55033
81.30000, 77.71623
81.30000, 77.22134
81.30000, 76.21139
81.30000, 77.76930
81.30000, 78.22409
81.30000, 77.01496
81.30000, 77.33102
81.30000, 77.33185
