Target,Output
57.90000,56.82096
57.90000,56.78161
57.90000,56.79214
57.90000,56.77232
57.90000,56.94673
57.90000,56.92130
57.90000,56.99116
57.90000,56.80492
55.20000,53.24746
55.20000,53.35932
81.30000,81.48314
81.30000,81.40276
81.30000,81.42244
81.30000,81.49270
81.30000,81.32921
81.30000,81.44171
81.30000,81.26084
81.30000,81.29574
81.30000,81.29810
81.30000,81.37484
81.30000,81.44626
81.30000,81.37430
81.30000,81.18512
81.30000,81.32884
81.30000,81.32606
81.30000,81.20085
81.30000,81.08699
81.30000,81.35495
81.30000,81.17402
81.30000,80.87390
81.30000,80.97159
81.30000,80.78245
81.30000,80.69645
81.30000,80.67042
81.30000,80.81349
81.30000,80.72593
81.30000,80.86396
81.30000,80.73097
81.30000,80.84390
81.30000,80.86360
81.30000,80.82821
81.30000,80.72090
81.30000,80.72353
81.30000,80.73380
81.30000,80.72819
81.30000,80.57939
81.30000,80.46486
83.90000,84.43885
83.90000,84.30900
83.90000,84.28849
83.90000,84.21221
83.90000,84.12630
83.90000,83.93731
83.90000,83.92357
83.90000,83.78573
83.90000,83.79876
83.90000,83.82953
83.90000,83.83439
83.90000,83.64489
83.90000,83.81405
83.90000,83.65702
83.90000,83.80343
83.90000,83.87918
83.90000,83.90872
83.90000,83.93043
83.90000,84.07916
83.90000,83.86080
83.90000,84.15796
83.90000,83.95241
83.90000,83.76567
83.90000,83.94165
83.90000,83.81874
83.90000,83.72661
83.90000,83.81255
83.90000,83.72871
83.90000,83.82989
83.90000,83.71784
83.90000,83.84068
83.90000,83.79016
83.90000,83.68773
83.90000,83.69945
83.90000,83.58851
83.90000,83.54783
83.90000,83.64574
83.90000,83.62044
83.90000,83.63400
83.90000,83.50527
83.90000,83.66651
83.90000,83.54873
90.90000,91.82307
90.90000,91.22611
90.90000,90.78667
90.90000,90.46318
90.90000,90.48652
90.90000,90.39970
90.90000,90.75462
90.90000,90.96518
90.90000,90.59580
90.90000,90.85151
90.90000,91.24069
90.90000,91.13318
90.90000,91.63054
90.90000,91.44096
90.90000,91.20404
90.90000,91.13733
90.90000,91.06842
90.90000,90.97170
90.90000,90.85981
90.90000,90.96166
90.90000,90.83785
90.90000,90.40097
90.90000,90.47759
90.90000,90.66745
90.90000,90.64429
90.90000,90.55897
90.90000,90.89711
69.10000,69.13711
69.10000,69.15784
69.10000,69.12300
69.10000,69.17121
69.10000,69.34742
69.10000,69.38394
69.10000,69.20867
69.10000,69.40150
69.10000,69.73234
69.10000,69.46477
69.10000,69.50414
69.10000,69.10985
69.10000,69.28353
69.10000,69.71249
69.10000,69.50932
69.10000,69.27653
69.10000,69.28376
69.10000,69.55052
69.10000,69.39289
69.10000,69.62636
69.10000,69.31979
69.10000,68.98379
69.10000,69.03212
69.10000,69.11635
69.10000,69.23599
69.10000,68.93597
69.10000,69.16089
69.10000,69.20165
27.60000,26.31467
27.60000,26.74380
27.60000,26.63017
27.60000,26.02922
27.60000,25.97848
27.60000,26.30589
27.60000,26.63924
27.60000,26.38740
27.60000,26.77403
27.60000,26.60177
27.60000,26.20237
27.60000,26.25101
27.60000,26.32901
27.60000,26.67539
27.60000,26.67233
27.60000,26.38152
27.60000,26.92642
27.60000,26.82996
27.60000,26.62398
27.60000,26.66298
27.60000,26.66254
27.60000,26.05614
27.60000,26.61967
27.60000,26.65283
27.60000,26.36678
27.60000,26.42550
27.60000,26.35089
74.00000,73.57755
74.00000,73.80097
74.00000,73.64830
74.00000,73.91251
74.00000,73.82732
74.00000,73.60995
74.00000,73.71398
