Target,Output
57.90000,58.53655
55.20000,56.58291
55.20000,57.29338
81.30000,80.02963
81.30000,80.42459
81.30000,80.02739
81.30000,78.73582
81.30000,79.63680
81.30000,77.11745
81.30000,80.18410
81.30000,78.64798
81.30000,78.91414
81.30000,78.23717
81.30000,76.79865
81.30000,79.01043
81.30000,79.58513
81.30000,77.89746
81.30000,78.33474
81.30000,78.26689
81.30000,79.74230
81.30000,77.10397
81.30000,77.98898
81.30000,78.19766
81.30000,77.07741
81.30000,77.71072
81.30000,78.11400
81.30000,77.31743
81.30000,77.00976
81.30000,79.30987
81.30000,75.78230
81.30000,77.01741
81.30000,76.96406
81.30000,78.86656
81.30000,77.39557
81.30000,77.78773
81.30000,77.01542
81.30000,77.71879
81.30000,76.54269
81.30000,77.21318
81.30000,78.66551
83.90000,82.29974
83.90000,82.77712
83.90000,82.23322
83.90000,82.16716
83.90000,83.04690
83.90000,82.96627
83.90000,82.83616
83.90000,83.33492
83.90000,82.52783
83.90000,82.20688
83.90000,81.64964
83.90000,82.19434
83.90000,81.15179
83.90000,81.72517
83.90000,80.35559
83.90000,80.80444
83.90000,82.31632
83.90000,82.20029
83.90000,80.58007
83.90000,83.14500
83.90000,81.01573
83.90000,81.48449
83.90000,82.62059
83.90000,81.98482
83.90000,82.59060
83.90000,83.08194
83.90000,81.93942
83.90000,80.52230
83.90000,81.38335
83.90000,82.82463
83.90000,82.80808
83.90000,83.12480
83.90000,82.47219
83.90000,82.04913
83.90000,85.33126
83.90000,84.01319
83.90000,82.29452
83.90000,82.60926
83.90000,84.06574
83.90000,83.67439
83.90000,82.81187
83.90000,83.03801
90.90000,88.21194
90.90000,87.65529
90.90000,88.88755
90.90000,89.23598
90.90000,88.84426
90.90000,90.40074
90.90000,88.30194
90.90000,87.67125
90.90000,86.48115
90.90000,88.67532
90.90000,88.46284
90.90000,88.47658
90.90000,87.16490
90.90000,88.49185
90.90000,87.38541
90.90000,88.52833
90.90000,86.73176
90.90000,88.04517
90.90000,88.68125
90.90000,88.61215
90.90000,87.35205
90.90000,89.70101
90.90000,89.37655
90.90000,88.07696
90.90000,89.89375
90.90000,88.36540
90.90000,86.71542
69.10000,69.24208
69.10000,69.60357
69.10000,69.63909
69.10000,70.76708
69.10000,71.75580
69.10000,71.48828
69.10000,69.59314
69.10000,72.12702
69.10000,73.86488
69.10000,72.55765
69.10000,72.61037
69.10000,69.81543
69.10000,71.19882
69.10000,76.60234
69.10000,73.00992
69.10000,70.98691
69.10000,71.70119
69.10000,74.91634
69.10000,73.08356
69.10000,74.02067
69.10000,72.79209
69.10000,70.07475
69.10000,70.86739
69.10000,72.29632
69.10000,73.82502
69.10000,70.10609
69.10000,69.91366
69.10000,70.68268
27.60000,28.80585
27.60000,27.18027
27.60000,26.90638
27.60000,28.59243
27.60000,29.04878
27.60000,28.24242
27.60000,26.37514
27.60000,28.46889
27.60000,26.24973
27.60000,26.23984
27.60000,27.23620
27.60000,27.43756
27.60000,26.38578
27.60000,24.63304
27.60000,25.88969
27.60000,26.62432
27.60000,26.15762
27.60000,26.41034
27.60000,26.31887
27.60000,26.45034
27.60000,26.44976
27.60000,27.28464
27.60000,25.05371
27.60000,25.12657
27.60000,25.82375
27.60000,26.08167
27.60000,27.16849
74.00000,75.86397
74.00000,76.30527
74.00000,74.71183
74.00000,76.01931
74.00000,75.01683
74.00000,75.44414
74.00000,75.69417
74.00000,76.84240
74.00000,75.91617
74.00000,74.91567
74.00000,75.13362
74.00000,75.76888
74.00000,75.92615
74.00000,74.80390
74.00000,74.31780
74.00000,75.73265
74.00000,74.96416
74.00000,75.21507
74.00000,75.91968
74.00000,76.39641
74.00000,76.74096
74.00000,75.61212
74.00000,75.11100
74.00000,75.65129
74.00000,75.97247
74.00000,74.95426
74.00000,74.73217
74.00000,74.50355
74.00000,74.39871
74.00000,74.49829
74.00000,75.46900
74.00000,75.66477
74.00000,75.04460
74.00000,75.78762
74.00000,75.75442
74.00000,78.04468
74.00000,75.43853
74.00000,75.45157
74.00000,76.34469
74.00000,74.03689
74.00000,75.40469
74.00000,74.65561
26.10000,26.32073
26.10000,29.09356
26.10000,29.43130
26.10000,27.57187
26.10000,27.70758
26.10000,27.89516
26.10000,28.93888
26.10000,31.36949
26.10000,28.26636
26.10000,27.93689
26.10000,28.27335
26.10000,31.54353
26.10000,26.47594
26.10000,26.30805
26.10000,27.90734
26.10000,29.40235
26.10000,28.11552
26.10000,27.45925
26.10000,27.02235
26.10000,26.78852
26.10000,29.54808
26.10000,28.93122
52.50000,50.63331
52.50000,51.33136
52.50000,49.27256
52.50000,50.54215
52.50000,51.03651
52.50000,49.64123
52.50000,51.16851
52.50000,52.81133
52.50000,51.14905
52.50000,51.47492
52.50000,52.95665
52.50000,54.03538
52.50000,52.95477
52.50000,52.30953
52.50000,53.52699
52.50000,51.56905
52.50000,51.14773
52.50000,52.45994
52.50000,54.73291
52.50000,53.91019
52.50000,54.53608
52.50000,52.65713
52.50000,52.42216
52.50000,49.41500
52.50000,51.55330
52.50000,50.67472
52.50000,50.80180
52.50000,53.77672
52.50000,52.61666
52.50000,52.64779
52.50000,53.17603
52.50000,51.03326
52.50000,51.74177
52.50000,52.26699
52.50000,51.92006
52.50000,53.05970
52.50000,52.72130
48.30000,52.18860
48.30000,50.85438
48.30000,51.39055
48.30000,51.19499
48.30000,51.71913
